Class.,Jogador,Nação,Pos.,Equipe,Idade,Nascimento,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,GlsP90,AssisP90,G+AP90,G-PBP90,G+A-PBP90,xGP90,xAGP90,xG+xAGP90,npxGP90,npxG+xAGP90
470,Júnior Moraes,ua UKR,ZG,Corinthians,35,1987,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,0,0,0,000,000,000,000,000,000,000,000,000,000
471,João Moreira,pt POR,ZG,São Paulo,18,2004,1,1,70,0.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.25,5.00,7.50,000,000,000,000,000,003,000,003,003,003
472,Everton Morelli,br BRA,LT,Goiás,25,1997,32,30,2.585,28.7,0.10,0.00,0.10,0.10,0.00,0.00,0.21,0.00,0.06,0.06,0.03,0.07,1.25,3.28,2.61,010,000,010,010,010,006,003,009,006,009
473,Alfredo Morelos,co COL,"AT,LT",Santos,26,1996,3,1,77,0.9,0.00,0.00,0.00,0.00,0.00,0.00,2.22,0.00,0.11,0.11,0.22,0.00,1.11,3.33,6.67,000,000,000,000,000,013,019,031,013,031
474,Marcelino Moreno,ar ARG,LT,Coritiba,28,1994,31,27,2.306,25.6,0.08,0.16,0.23,0.08,0.00,0.00,0.23,0.00,0.07,0.07,0.19,0.23,3.91,3.98,7.34,008,016,023,008,023,007,019,027,007,027
475,Gabriel Moscardo,br BRA,LT,Corinthians,17,2005,18,15,1.132,12.6,0.08,0.08,0.16,0.08,0.00,0.00,0.48,0.00,0.02,0.02,0.07,0.08,1.35,2.22,1.27,008,008,016,008,016,002,007,010,002,010
476,Henry Mosquera,co COL,"AT,LT",Red Bull Bragantino,21,2001,21,10,1.061,11.8,0.17,0.17,0.34,0.17,0.00,0.00,0.08,0.00,0.16,0.16,0.22,0.34,6.02,2.63,13.6,017,017,034,017,034,016,022,038,016,038
477,Gustavo Mosquito,br BRA,"AT,LT",Corinthians,25,1997,11,1,308,3.4,0.29,0.00,0.29,0.29,0.00,0.00,0.59,0.00,0.06,0.06,0.09,0.00,4.12,1.47,8.53,029,000,029,029,029,005,010,015,005,015
478,Hugo Moura,br BRA,LT,Ath Paranaense,25,1998,30,15,1.327,14.7,0.00,0.00,0.00,0.00,0.00,0.00,0.41,0.00,0.02,0.02,0.01,0.00,0.75,3.74,0.68,000,000,000,000,000,002,001,004,002,004
479,Lucas Moura,br BRA,"AT,LT",São Paulo,30,1992,14,10,867,9.6,0.10,0.00,0.10,0.10,0.00,0.00,0.00,0.00,0.10,0.10,0.05,0.10,3.02,4.79,6.56,010,000,010,010,010,011,005,016,011,016
480,Neto Moura,br BRA,LT,Cruzeiro,26,1996,13,6,499,5.5,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.00,0.07,0.07,0.09,0.00,0.55,5.82,3.09,000,000,000,000,000,007,010,017,007,017
481,Lucas Mugni,ar ARG,"LT,AT",Bahia,31,1992,15,1,361,4.0,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.05,0.05,0.07,0.00,1.75,5.75,4.50,000,000,000,000,000,004,008,012,004,012
482,Murillo,br BRA,ZG,Corinthians,20,2002,13,13,1.165,12.9,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.00,0.02,0.02,0.05,0.00,0.78,3.57,0.16,000,000,000,000,000,002,004,006,002,006
483,Andrey Ramos do Nascimento,br BRA,LT,Coritiba,24,1998,26,11,1.124,12.5,0.08,0.00,0.08,0.08,0.00,0.00,0.40,0.00,0.05,0.05,0.10,0.08,1.28,7.12,1.28,008,000,008,008,008,005,010,015,005,015
484,Bruno Nascimento,br BRA,"AT,LT",Cruzeiro,25,1997,35,30,2.820,31.3,0.26,0.13,0.38,0.19,0.06,0.13,0.13,0.00,0.30,0.20,0.14,0.32,3.26,3.93,8.63,026,013,038,019,032,030,014,044,020,034
485,Matheus Nascimento,br BRA,"AT,LT",Botafogo (RJ),18,2004,5,1,98,1.1,0.91,0.00,0.91,0.91,0.00,0.00,1.82,0.00,0.73,0.73,0.36,0.91,0.91,1.82,3.64,092,000,092,092,092,077,037,114,077,114
486,Nata,br BRA,"AT,ZG",Grêmio,21,2001,2,0,16,0.2,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,000,000,000,000,000,000,000,000,000,000
487,Natan,br BRA,ZG,Red Bull Bragantino,21,2001,10,9,836,9.3,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.03,0.03,0.00,0.00,0.75,3.66,0.00,000,000,000,000,000,003,000,003,003,003
